id,last_bus_stop_time_visit,pt
167,,0101000020E6100000EC191DEB3DDC5140BFA2B6685C944940
168,,0101000020E6100000006CE5CA45DC51407444BE4BA9944940
169,,0101000020E61000001EF8BDF245DC514013AB50EE88944940
170,,0101000020E61000008C834BC79CD95140186CD910D2984940
171,,0101000020E61000007EDD8E15A1D9514069CB14CEC9984940
172,,0101000020E6100000A19229D574D95140F866E5A8ED984940
173,,0101000020E6100000BAE303F170D65140BC2EB253627B4940
174,,0101000020E6100000AC67525447DB51406B2A8BC22E954940
175,,0101000020E6100000AEB9A3FF65DB5140CFE27B35F6954940
176,,0101000020E610000029893611C7DB5140A3714D2613964940
177,,0101000020E610000066FE2CF1DBDB5140EB3DF08C11964940
178,,0101000020E6100000BB97A02BB6DA5140A34D1FCBCC954940
179,,0101000020E610000066F2727DC4DA5140C2B7FAFBD6954940
180,,0101000020E6100000AD951AEB2CDA51400C7B359B22954940
181,,0101000020E61000005679A7A734DA5140148C94771F954940
182,,0101000020E610000046216EF36BDA51405215AEA29A934940
183,,0101000020E610000056ED3FD763DA5140C2BE9D4484934940
184,,0101000020E6100000943AB7BF69DA5140C847E6ECF8924940
185,,0101000020E6100000EBB765764CDA51409B6A77595D924940
186,,0101000020E610000038D1538957DA514093D222916C924940
187,,0101000020E61000001D59F96530DA51409C0EAECACF914940
188,,0101000020E6100000829A10293CDA5140BCFD03F6E2914940
189,,0101000020E61000008A77DBE09FD7514075E2170390914940
190,,0101000020E6100000F3B9C95E25DA5140F0B4464E70914940
191,,0101000020E6100000A5A0DB4B1ADA5140F33977BB5E914940
192,,0101000020E610000030A7BA360ADA5140D77ED70C15914940
193,,0101000020E6100000390609F604DA5140931CB0ABC9904940
194,,0101000020E6100000EB854C431EDA51406B30687CBA954940
195,,0101000020E6100000F92A9E1F6BDA51405D209CAAD6954940
196,,0101000020E61000000A760D4460DA514078BA4E7EE6954940
197,,0101000020E610000053701D8851DA51404599B27856964940
198,,0101000020E61000001AA54BFF12DA514039002C3C79964940
199,,0101000020E610000059CD29B723DA51405680EF366F964940
200,,0101000020E610000069CAA9F81ADC5140E53CADECCC954940
201,,0101000020E61000002765F78928DC514052BA4FE9BB954940
202,,0101000020E610000056E7621DD8DA5140C780ECF5EE8F4940
203,,0101000020E6100000F9AC212702DB51406AFAEC80EB8F4940
204,,0101000020E6100000A08268522FD85140CE84CBCFB2984940
205,,0101000020E610000028FEDE5C32D8514056A41D92B5984940
206,,0101000020E6100000A674FA8B6AD851406AE4A9FD8C984940
207,,0101000020E610000060B58D9A0AD951405839B4C876994940
208,,0101000020E61000007A200D0206D95140B6BDDD921C994940
209,,0101000020E61000000E8FB39FFBD8514079ECC26A87994940
210,,0101000020E61000000A09BDA3EBD751401DD8E033C8974940
211,,0101000020E6100000B48EAA2608D85140AB03C53478974940
212,,0101000020E6100000EB313619FAD75140D84C199359984940
213,,0101000020E61000000140040B16D85140C8E41E5C4B984940
214,,0101000020E6100000B749A01CE0D75140CC7B9C69C2974940
215,,0101000020E61000005ECEB6E482D751401094DBF63D994940
216,,0101000020E610000071CADC7C23D85140D5287F52489A4940
217,,0101000020E610000052D0926C9AD751401CDC8C8983994940
218,,0101000020E61000004E2F8C4FDCD7514014ABABA7FB994940
219,,0101000020E6100000FF1C8B1299D751400E64E2FB87994940
220,,0101000020E6100000E39A4C26B8D851403755F7C8E6994940
221,,0101000020E61000005FDB91A0AED851406C3DE87EF3994940
222,,0101000020E6100000AE484C5043D851402877442A319A4940
223,,0101000020E610000068F5C42929DB5140EBE97EA9FA964940
224,,0101000020E6100000461DC29DB0DF5140054EB6813B944940
225,,0101000020E61000001411B4B835DA51403813D38558974940
226,,0101000020E61000008EAF3DB324DA5140F857EAB4C9974940
227,,0101000020E61000003D7084FB37DB5140A6A43D14BB964940
228,,0101000020E61000008750A5660FDB514004CCD7C0B1964940
229,,0101000020E61000006FD4AF1905DC514035DF77C201904940
230,,0101000020E6100000EDE98FD5D2D851406B3E5354A2984940
231,,0101000020E6100000A6D24F38BBD851407013A4085F984940
232,,0101000020E6100000DA328573B2D85140B2EEC4515E984940
233,,0101000020E610000089789043E9D8514056B0D705CD984940
234,,0101000020E61000009FFB17ADC8D851400738CEB74F994940
235,,0101000020E6100000DF1B430070DE514059130B7C45944940
236,,0101000020E610000099E436D0B2DF5140767A9400EB904940
237,,0101000020E610000034D4CD6AA6DF5140E5E6C017CB904940
238,,0101000020E61000003445251AC9DF514086432564D6904940
239,,0101000020E610000005BE47A2BCDF51406E5CB521B5904940
240,,0101000020E610000012BB5BFEE8DF5140AE940ACFF0904940
241,,0101000020E61000000DFB3DB14EDF51400B3BD6D699904940
242,,0101000020E610000042FD78F967DF51409DBAF2599E904940
243,,0101000020E61000001B6FE12F1CDF51401828846973904940
244,,0101000020E610000087AF65E80EDF5140BC9B02F456904940
245,,0101000020E61000004820B99022DF514023F197BB3B904940
